compound_id,name,smiles
0,benzene,c1ccccc1
1,heptane,CCCCCCC
2,ethanol,CCO
3,pentan-1-ol,CCCCCO
4,propan-1-ol,CCCO
5,2-methylbutan-1-ol,CCC(C)CO
6,oxolane,C1CCOC1
7,"2,5-dimethylfuran",Cc1ccc(C)o1
8,hexane,CCCCCC
9,"2,2-dimethylbutane",CCC(C)(C)C
10,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C
11,propylcyclohexane,CCCC1CCCCC1
12,cyclopentene,C1=CCCC1
13,1-methylcyclopentene,CC1=CCCC1
14,cyclohexene,C1=CCCCC1
15,toluene,Cc1ccccc1
16,"1,2,4-trimethylbenzene",Cc1ccc(C)c(C)c1
17,ethylbenzene,CCc1ccccc1
18,"1,2,3,4-tetrahydronaphthalene",c1ccc2c(c1)CCCC2
19,"1,4-xylene",Cc1ccc(C)cc1
20,heptan-2-one,CCCCCC(C)=O
21,butan-2-one,CCC(C)=O
22,cycloheptane,C1CCCCCC1
23,"1,3-diethylbenzene",CCc1cccc(CC)c1
24,butylbenzene,CCCCc1ccccc1
25,4-methylhex-1-ene,C=CCC(C)CC
26,"2,2,3-trimethylbutane",CC(C)C(C)(C)C
27,2-methylpropyl acetate,CC(=O)OCC(C)C
28,"2,4-dimethylhexane",CCC(C)CC(C)C
29,4-methylheptane,CCCC(C)CCC
30,hexan-1-ol,CCCCCCO
31,"2,3-dimethylbut-2-ene",CC(C)=C(C)C
32,1-methylcyclohexene,CC1=CCCCC1
33,"1,4-diethylbenzene",CCc1ccc(CC)cc1
34,"1-methylcyclohexa-1,4-diene",CC1=CCC=CC1
35,"cyclohexa-1,4-diene",C1=CCC=CC1
36,2-methylhept-2-ene,CCCCC=C(C)C
37,oct-1-yne,C#CCCCCCC
38,2-methylpropylbenzene,CC(C)Cc1ccccc1
39,[(E)-prop-1-enyl]benzene,C/C=C/c1ccccc1
40,propylbenzene,CCCc1ccccc1
41,2-methylpentanal,CCCC(C)C=O
42,3-methylpent-1-ene,C=CC(C)CC
43,"1,2-xylene",Cc1ccccc1C
44,"2,5-dimethyloxolane",CC1CCC(C)O1
45,2-methylhex-1-ene,C=C(C)CCCC
46,heptan-4-one,CCCC(=O)CCC
47,1-ethyl-2-methylbenzene,CCc1ccccc1C
48,"2,4,4-trimethylpent-1-ene",C=C(C)CC(C)(C)C
49,3-methylbutyl acetate,CC(=O)OCCC(C)C
50,2-methylfuran,Cc1ccco1
51,"1,1-dimethylcyclohexane",CC1(C)CCCCC1
52,oct-1-ene,C=CCCCCCC
53,"2,3-dihydro-1H-indene",c1ccc2c(c1)CCC2
54,"1,2,3-trimethylbenzene",Cc1cccc(C)c1C
55,2-methoxy-2-methylpropane,COC(C)(C)C
56,1-methyl-4-propan-2-ylbenzene,Cc1ccc(C(C)C)cc1
57,"2,4-dimethylpentane",CC(C)CC(C)C
58,ethyl pentanoate,CCCCC(=O)OCC
59,propan-2-one,CC(C)=O
60,methylcyclopentane,CC1CCCC1
61,"cyclohexa-1,3-diene",C1=CCCC=C1
62,4-methylpent-1-ene,C=CCC(C)C
63,oxane,C1CCOCC1
64,cyclohexanone,O=C1CCCCC1
65,2-methylbut-3-en-2-ol,C=CC(C)(C)O
66,"2,3-dimethylpentane",CCC(C)C(C)C
67,"2,4,4-trimethylpent-2-ene",CC(C)=CC(C)(C)C
68,butan-2-ylbenzene,CCC(C)c1ccccc1
69,1-ethyl-4-methylbenzene,CCc1ccc(C)cc1
70,hept-1-ene,C=CCCCCC
71,3-methylbutan-1-ol,CC(C)CCO
72,prop-2-enylbenzene,C=CCc1ccccc1
73,methyl 2-methylpropanoate,COC(=O)C(C)C
74,2-ethoxy-2-methylpropane,CCOC(C)(C)C
75,4-methylpentan-2-one,CC(=O)CC(C)C
76,prop-1-en-2-ylbenzene,C=C(C)c1ccccc1
77,pentan-2-one,CCCC(C)=O
78,styrene,C=Cc1ccccc1
79,"1,3-xylene",Cc1cccc(C)c1
80,heptan-2-ol,CCCCCC(C)O
81,cyclopentane,C1CCCC1
82,2-methylhexane,CCCCC(C)C
83,anisole,COc1ccccc1
84,hex-1-ene,C=CCCCC
85,ethyl butanoate,CCCC(=O)OCC
86,2-methylpentane,CCCC(C)C
87,octane,CCCCCCCC
88,"1,2,3,4-tetramethylbenzene",Cc1ccc(C)c(C)c1C
89,methyl hexanoate,CCCCCC(=O)OC
90,pentylbenzene,CCCCCc1ccccc1
91,"2,3,3-trimethylbut-1-ene",C=C(C)C(C)(C)C
92,methyl acetate,COC(C)=O
93,ethyl acetate,CCOC(C)=O
94,2-methyloxolane,CC1CCCO1
95,3-methylidenepentane,C=C(CC)CC
96,1-ethyl-3-methylbenzene,CCc1cccc(C)c1
97,methyl 2-methylbutanoate,CCC(C)C(=O)OC
98,cyclooctane,C1CCCCCCC1
99,"2,2-dimethylhexane",CCCCC(C)(C)C
100,methyl pentanoate,CCCCC(=O)OC
101,(E)-3-methylpent-2-ene,C/C=C(\C)CC
102,(E)-hex-3-ene,CC/C=C/CC
103,"tricyclo[5.2.1.02,6]deca-3,8-diene",C1=CC2C3C=CC(C3)C2C1
104,3-methylheptane,CCCCC(C)CC
105,pentan-2-ol,CCCC(C)O
106,(E)-hex-2-ene,C/C=C/CCC
107,3-methylhexane,CCCC(C)CC
108,propan-2-ol,CC(C)O
109,"1,3,5-trimethylbenzene",Cc1cc(C)cc(C)c1
110,cyclohexane,C1CCCCC1
111,3-methylpentane,CCC(C)CC
112,ethylcyclohexane,CCC1CCCCC1
113,3-methylbutan-2-one,CC(=O)C(C)C
114,pentane,CCCCC
115,butan-2-ol,CCC(C)O
116,2-methylpropan-1-ol,CC(C)CO
117,methylcyclohexane,CC1CCCCC1
118,butyl acetate,CCCCOC(C)=O
119,methanol,CO
120,propan-2-ylcyclohexane,CC(C)C1CCCCC1
121,"2,3,4-trimethylpentane",CC(C)C(C)C(C)C
122,"2,2-dimethylpentane",CCCC(C)(C)C
123,ethyl 2-methylpropanoate,CCOC(=O)C(C)C
124,2-methylhept-1-ene,C=C(C)CCCCC
125,"2,3-dimethylbut-1-ene",C=C(C)C(C)C
126,2-methylprop-1-enylbenzene,CC(C)=Cc1ccccc1
127,"2,5-dimethylhexane",CC(C)CCC(C)C
128,"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C
129,ethylcyclopentane,CCC1CCCC1
130,2-methylheptane,CCCCCC(C)C
131,4-methylcyclohexene,CC1CC=CCC1
132,2-methylpropan-2-ol,CC(C)(C)O
133,"(1S,3R)-1,2,3-trimethylcyclohexane",CC1[C@H](C)CCC[C@@H]1C
134,ethylidenecyclohexane,CC=C1CCCCC1
135,1-ethylcyclopentene,CCC1=CCCC1
136,"hexa-1,5-diene",C=CCCC=C
137,"(1S,3S)-1,3-dimethylcyclopentane",C[C@H]1CC[C@H](C)C1
138,(E)-3-methylhex-3-ene,CC/C=C(\C)CC
139,"(3aS,7aR)-2,3,3a,4,5,6,7,7a-octahydro-1H-indene",C1CC[C@H]2CCC[C@H]2C1
140,"1,3,5-trimethylcyclohexane",C[C@H]1C[C@@H](C)C[C@@H](C)C1
141,"2,5-dimethylhexa-2,4-diene",CC(C)=CC=C(C)C
142,"1,1-dimethylcyclopentane",CC1(C)CCCC1
143,"(E)-2,2-dimethylhex-3-ene",CC/C=C/C(C)(C)C
144,but-2-ene,CC=CC
145,1-methoxy-4-methylbenzene,COc1ccc(C)cc1
146,oct-2-ene,CC=CCCCCC
147,3-methylbut-1-ene,C=CC(C)C
148,2-methylhex-2-ene,CCCC=C(C)C
149,5-methylhexanoate,CC(C)CCCC(=O)[O-]
150,2-methylbutan-2-ylcyclohexane,CCC(C)(C)C1CCCCC1
151,"2,3-dimethylbuta-1,3-diene",C=C(C)C(=C)C
152,3-ethylpentane,CCC(CC)CC
153,ethyl 4-oxopentanoate,CCOC(=O)CCC(C)=O
154,"3-ethyl-2,4-dimethylpentane",CCC(C(C)C)C(C)C
155,1-methyl-2-propylbenzene,CCCc1ccccc1C
156,propan-2-ylcyclopropane,CC(C)C1CC1
157,propan-2-ylcyclopentane,CC(C)C1CCCC1
158,"(3aR,7aR)-2,3,3a,4,5,6,7,7a-octahydro-1H-indene",C1CC[C@@H]2CCC[C@H]2C1
159,"3,3-diethylpentane",CCC(CC)(CC)CC
160,oct-4-yne,CCCC#CCCC
161,1-ethyl-1-methylcyclohexane,CCC1(C)CCCCC1
162,2-ethylbicyclo[2.2.1]heptane,CCC1CC2CCC1C2
163,ethane,CC
164,pentan-2-ylbenzene,CCCC(C)c1ccccc1
165,"4,5-diethyloctane",CCCC(CC)C(CC)CCC
166,1-methyl-2-prop-2-enylbenzene,C=CCc1ccccc1C
167,"3,4-dihydro-2H-pyran",C1=COCCC1
168,(E)-6-methylhept-3-ene,CC/C=C/CC(C)C
169,"2,3-dimethylhex-1-ene",C=C(C)C(C)CCC
170,1-methyl-4-propan-2-ylcyclohexane,CC1CCC(C(C)C)CC1
171,cyclopropylmethylcyclopropane,C1CC1CC1CC1
172,"3,3-dimethylpent-1-ene",C=CC(C)(C)CC
173,2-methylpropane,CC(C)C
174,3-ethylpent-1-ene,C=CC(CC)CC
175,"cyclopenta-1,3-diene",C1=CCC=C1
176,5-methylhex-1-ene,C=CCCC(C)C
177,"(1S,3R)-1,3-dimethylcyclohexane",C[C@@H]1CCC[C@H](C)C1
178,"2,3-dimethylhex-2-ene",CCCC(C)=C(C)C
179,4-methylpent-2-ene,CC=CC(C)C
180,"2,4-dimethylpent-2-ene",CC(C)=CC(C)C
181,butylcyclopentane,CCCCC1CCCC1
182,(E)-2-methylhept-3-ene,CCC/C=C/C(C)C
183,prop-1-ene,C=CC
184,cyclopentylcyclopentane,C1CCC(C2CCCC2)C1
185,methylcyclopropane,CC1CC1
186,1-ethyl-3-methylcyclopentane,CCC1CCC(C)C1
187,4-methylpent-1-yne,C#CCC(C)C
188,(E)-hept-2-ene,C/C=C/CCCC
189,butyl butanoate,CCCCOC(=O)CCC
190,"(E)-2,5-dimethylhex-3-ene",CC(C)/C=C/C(C)C
191,"(E)-4,4-dimethylpent-2-ene",C/C=C/C(C)(C)C
192,"2,2,3,3-tetramethylpentane",CCC(C)(C)C(C)(C)C
193,ethenylcyclopentane,C=CC1CCCC1
194,"(1R,2S)-1-methyl-2-propylcyclohexane",CCC[C@H]1CCCC[C@H]1C
195,"2,3-dimethylhexane",CCCC(C)C(C)C
196,1-methyl-2-propan-2-ylbenzene,Cc1ccccc1C(C)C
197,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",CC12CCC(CC1)C(C)(C)O2
198,"(1R,2R)-1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@H]1C
199,"2,3,3-trimethylpent-1-ene",C=C(C)C(C)(C)CC
200,"2,3-dimethylpent-2-ene",CCC(C)=C(C)C
201,(E)-4-methylpent-2-ene,C/C=C/C(C)C
202,"1,3,5-trimethylcyclohexane",C[C@H]1C[C@H](C)C[C@@H](C)C1
203,"1,4-dimethylcyclohexane",C[C@H]1CC[C@@H](C)CC1
204,"(1S,2R)-1,2-dimethylcyclopropane",C[C@@H]1C[C@@H]1C
205,2-methyldecane,CCCCCCCCC(C)C
206,"2,5-dimethylhex-2-ene",CC(C)=CCC(C)C
207,ethylcyclopropane,CCC1CC1
208,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",CC1=CCC2CC1C2(C)C
209,(E)-3-methylhex-2-ene,C/C=C(\C)CCC
210,"4,4-dimethylcyclohexene",CC1(C)CC=CCC1
211,"3,5,5-trimethylcyclohexene",CC1C=CCC(C)(C)C1
212,3-ethylhexane,CCCC(CC)CC
213,2-methyl-3-methylidenepentane,C=C(CC)C(C)C
214,"(1S,3S)-1,3-dimethylcyclohexane",C[C@H]1CCC[C@H](C)C1
215,ethylcyclobutane,CCC1CCC1
216,3-ethylcyclopentene,CCC1C=CCC1
217,"1,1,3-trimethylcyclopentane",CC1CCC(C)(C)C1
218,ethenylcyclohexane,C=CC1CCCCC1
219,"2,2,3,3-tetramethylhexane",CCCC(C)(C)C(C)(C)C
220,ethylcycloheptane,CCC1CCCCCC1
221,"2,4-dimethylpent-1-ene",C=C(C)CC(C)C
222,"(1R,2S)-1,2,4-trimethylcyclopentane",CC1C[C@@H](C)[C@@H](C)C1
223,2-methylpropylcyclopentane,CC(C)CC1CCCC1
224,ethylidenecyclopentane,CC=C1CCCC1
225,ethyl 2-hydroxypropanoate,CCOC(=O)C(C)O
226,"3-methylbuta-1,2-diene",C=C=C(C)C
227,"3,3-dimethylhexane",CCCC(C)(C)CC
228,3-ethyl-2-methylpent-2-ene,CCC(CC)=C(C)C
229,prop-1-en-2-ylcyclopropane,C=C(C)C1CC1
230,2-methylbutan-2-ylbenzene,CCC(C)(C)c1ccccc1
231,prop-2-enylcyclopentane,C=CCC1CCCC1
232,propylcyclopentane,CCCC1CCCC1
233,"(1R,2S)-1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C
234,(E)-oct-3-ene,CC/C=C/CCCC
235,butan-2-ylcyclohexane,CCC(C)C1CCCCC1
236,"(Z)-3,4-dimethylpent-2-ene",C/C=C(/C)C(C)C
237,(E)-2-methylhex-3-ene,CC/C=C/C(C)C
238,"6,6-dimethyl-2-methylidenebicyclo[3.1.1]heptane",C=C1CCC2CC1C2(C)C
239,"2-ethyl-2,4,5-trimethyl-1,3-dioxolane",CCC1(C)OC(C)C(C)O1
240,"2,5-dimethylhexa-1,5-diene",C=C(C)CCC(=C)C
241,"3,4-dimethylpent-1-ene",C=CC(C)C(C)C
242,"1,1,2-trimethylcyclohexane",CC1CCCCC1(C)C
243,propane,CCC
244,butyl 4-oxopentanoate,CCCCOC(=O)CCC(C)=O
245,"2,2,3-trimethylpentane",CCC(C)C(C)(C)C
246,"1-ethyl-3,5-dimethylbenzene",CCc1cc(C)cc(C)c1
247,"2,3-dimethylpent-1-ene",C=C(C)C(C)CC
248,2-methylpropylcyclohexane,CC(C)CC1CCCCC1
249,2-methyloctane,CCCCCCC(C)C
250,"1,1,2,2-tetramethylcyclopropane",CC1(C)CC1(C)C
251,"(Z)-2,5-dimethylhex-3-ene",CC(C)/C=C\C(C)C
252,ethyl hexanoate,CCCCCC(=O)OCC
253,"4,4-diethylhept-1-ene",C=CCC(CC)(CC)CCC
254,"2,6,6-trimethylbicyclo[3.1.1]heptane",CC1CCC2CC1C2(C)C
255,butane,CCCC
256,"2,3,3-trimethylpentane",CCC(C)(C)C(C)C
257,"1,3,4-trimethyl-1-propan-2-ylcyclohexane",CC1CCC(C)(C(C)C)CC1C
258,"(Z)-2,2-dimethylhex-3-ene",CC/C=C\C(C)(C)C
259,"2-methylbuta-1,3-diene",C=CC(=C)C
260,6-methylhept-1-ene,C=CCCCC(C)C
261,"1,1,2-trimethylcyclopropane",CC1CC1(C)C
262,3-ethyl-3-methylpentane,CCC(C)(CC)CC
263,"hexa-2,4-diene",CC=CC=CC
264,3-ethyl-2-methylpent-1-ene,C=C(C)C(CC)CC
265,(E)-oct-4-ene,CCC/C=C/CCC
266,"3,7,7-trimethylbicyclo[4.1.0]hept-3-ene",CC1=CCC2C(C1)C2(C)C
267,"1,2-dimethylcyclohexene",CC1=C(C)CCCC1
268,"1-ethyl-2,3-dimethylbenzene",CCc1cccc(C)c1C
269,1-ethylcyclohexene,CCC1=CCCCC1
270,(E)-hept-3-ene,CC/C=C/CCC
271,furan,c1ccoc1
272,ethyl 3-ethoxybutanoate,CCOC(=O)CC(C)OCC
273,(E)-4-methylhex-2-ene,C/C=C/C(C)CC
274,5-methyloxolan-2-one,CC1CCC(=O)O1
275,2-methylbut-1-ene,C=C(C)CC
276,2-methylbutane,CCC(C)C
277,"(1S,2S,4S)-1,2,4-trimethylcyclohexane",C[C@H]1CC[C@H](C)[C@@H](C)C1
278,"3,3,5-trimethylcyclohexene",CC1CC=CC(C)(C)C1
279,3-methylhex-1-ene,C=CC(C)CCC
280,(E)-5-methylhex-2-ene,C/C=C/CC(C)C
281,"(1R,3S)-1,3-dimethylcyclopentane",C[C@@H]1CC[C@H](C)C1
282,"2,2-dimethyloctane",CCCCCCC(C)(C)C
283,3-ethyl-2-methylpentane,CCC(CC)C(C)C
284,ethene,C=C
285,"3,4-dimethylhexane",CCC(C)C(C)CC
286,2-propan-2-yloxypropane,CC(C)OC(C)C
287,4-methylpentan-2-ol,CC(C)CC(C)O
288,butan-1-ol,CCCCO
289,3-ethylpent-2-ene,CC=C(CC)CC
290,"2,3,4-trimethylpent-2-ene",CC(C)=C(C)C(C)C
291,cyclopentanone,O=C1CCCC1
292,2-methoxy-2-methylbutane,CCC(C)(C)OC
293,"4,4-dimethylpent-1-ene",C=CCC(C)(C)C
294,cumene,CC(C)c1ccccc1
295,pentan-3-ol,CCC(O)CC
296,methyl butanoate,CCCC(=O)OC
297,"3,3-dimethylbut-1-ene",C=CC(C)(C)C
298,2-methylpent-2-ene,CCC=C(C)C
299,(Z)-4-methylpent-2-ene,C/C=C\C(C)C
300,"3,3-dimethylpentane",CCC(C)(C)CC
301,tert-butylbenzene,CC(C)(C)c1ccccc1
302,2-methylpent-1-ene,C=C(C)CCC
303,1H-indene,C1=Cc2ccccc2C1
304,2-methylbut-2-ene,CC=C(C)C
305,"2,3-dimethylbutane",CC(C)C(C)C
306,"3,3,5-trimethylheptane",CCC(C)CC(C)(C)CC
307,"1,4-dimethylcyclohexane",C[C@H]1CC[C@H](C)CC1
308,"1,2,4-trimethyl-4-prop-1-en-2-ylcyclohexene",C=C(C)C1(C)CCC(C)=C(C)C1
309,3-methylbut-2-en-1-ol,CC(C)=CCO
310,pent-1-ene,C=CCCC
311,"3,4,4-trimethylpent-2-ene",CC=C(C)C(C)(C)C
312,1-methyl-3-propylbenzene,CCCc1cccc(C)c1
313,tert-butylcyclohexane,CC(C)(C)C1CCCCC1
314,but-1-ene,C=CCC
315,6-methylhept-2-ene,CC=CCCC(C)C
316,4-methylidene-1-propan-2-ylbicyclo[3.1.0]hexane,C=C1CCC2(C(C)C)CC12
317,"3-ethyl-2,2-dimethylpentane",CCC(CC)C(C)(C)C
318,4-ethenylcyclohexene,C=CC1CC=CCC1
319,1-methyl-2-propylcyclohexane,CCCC1CCCCC1C
320,pent-2-ene,CC=CCC
321,but-2-yne,CC#CC
322,"(1R,2R)-1-methyl-2-propylcyclohexane",CCC[C@@H]1CCCC[C@H]1C
323,"2,2-dimethylpropane",CC(C)(C)C
324,1-methyl-4-prop-1-en-2-ylcyclohexene,C=C(C)C1CC=C(C)CC1
325,"(1S,3S)-1,2,3-trimethylcyclohexane",CC1[C@@H](C)CCC[C@@H]1C
326,"2-ethyl-1,4-dimethylbenzene",CCc1cc(C)ccc1C
327,[(Z)-prop-1-enyl]benzene,C/C=C\c1ccccc1
328,"1-ethyl-2,4-dimethylbenzene",CCc1ccc(C)cc1C
329,"(Z)-4,4-dimethylpent-2-ene",C/C=C\C(C)(C)C
330,"1,1,3-trimethylcyclohexane",CC1CCCC(C)(C)C1
331,(Z)-3-methylhex-2-ene,C/C=C(/C)CCC
332,"2,2-dimethylheptane",CCCCCC(C)(C)C
333,nonane,CCCCCCCCC
334,decane,CCCCCCCCCC
335,undecane,CCCCCCCCCCC
336,"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C
337,"2,3,5-trimethylhexane",CC(C)CC(C)C(C)C
338,"2,4-dimethylheptane",CCCC(C)CC(C)C
339,"2,6-dimethylheptane",CC(C)CCCC(C)C
340,"2,5-dimethylheptane",CCC(C)CCC(C)C
341,4-ethylheptane,CCCC(CC)CCC
342,4-methyloctane,CCCCC(C)CCC
343,3-methyloctane,CCCCCC(C)CC
344,"2,2,4-trimethylheptane",CCCC(C)CC(C)(C)C
345,"2,6-dimethyloctane",CCC(C)CCCC(C)C
346,"2,2,6-trimethyloctane",CCC(C)CCCC(C)(C)C
347,"2,5,6-trimethyloctane",CCC(C)C(C)CCC(C)C
348,"4-ethyl-1,2-dimethylbenzene",CCc1ccc(C)c(C)c1
349,"2-ethyl-1,3-dimethylbenzene",CCc1c(C)cccc1C
350,"1,2,4,5-tetramethylbenzene",Cc1cc(C)c(C)cc1C
351,"1,2,3,5-tetramethylbenzene",Cc1cc(C)c(C)c(C)c1
352,2-methylnaphthalene,Cc1ccc2ccccc2c1
353,"5-methyl-2,3-dihydro-1H-indene",Cc1ccc2c(c1)CCC2
354,"4-methyl-2,3-dihydro-1H-indene",Cc1cccc2c1CCC2
355,"(1S,2S,4R)-1,2,4-trimethylcyclohexane",C[C@@H]1CC[C@H](C)[C@@H](C)C1
356,"1,2,4-trimethylcyclohexane",CC1CCC(C)C(C)C1
357,1-methyl-2-propylcyclopentane,CCCC1CCCC1C
358,"(1S,3S)-1,3-diethylcyclopentane",CC[C@H]1CC[C@H](CC)C1
359,4-methylhept-3-ene,CCC=C(C)CCC
360,naphthalene,c1ccc2ccccc2c1
361,"2-methyl-2,3-dihydro-1H-indene",CC1Cc2ccccc2C1
362,dodecane,CCCCCCCCCCCC
363,3-ethyl-5-methylheptane,CCC(C)CC(CC)CC
364,2-methylnonane,CCCCCCCC(C)C
365,3-methylnonane,CCCCCCC(C)CC
366,1-methyl-3-propan-2-ylbenzene,Cc1cccc(C(C)C)c1
367,1-tert-butyl-4-methylbenzene,Cc1ccc(C(C)(C)C)cc1
368,1-ethyl-4-propan-2-ylbenzene,CCc1ccc(C(C)C)cc1
369,"1,3-diethyl-5-methylbenzene",CCc1cc(C)cc(CC)c1
370,1-butyl-2-methylbenzene,CCCCc1ccccc1C
371,"3-ethyl-1,2,4,5-tetramethylbenzene",CCc1c(C)c(C)cc(C)c1C
372,"1,2-dimethyl-2,3-dihydro-1H-indene",CC1Cc2ccccc2C1C
373,3-methyl-1H-indene,CC1=CCc2ccccc21
374,"(1R,2R)-1,2-dimethylcyclopentane",C[C@@H]1CCC[C@H]1C
375,"(1R,3R)-1,2,3-trimethylcyclopentane",CC1[C@H](C)CC[C@H]1C
376,(E)-pent-2-ene,C/C=C/CC
377,(Z)-pent-2-ene,C/C=C\CC
378,(Z)-hex-3-ene,CC/C=C\CC
379,(Z)-3-methylpent-2-ene,C/C=C(/C)CC
380,4-methylcyclopentene,CC1CC=CC1
381,4-methylnonane,CCCCCC(C)CCC
382,(Z)-hex-2-ene,C/C=C\CCC
383,4-methylhex-2-ene,CC=CC(C)CC
384,(Z)-hept-2-ene,C/C=C\CCCC
385,"(1R,2S)-1,2-dimethylcyclopentane",C[C@@H]1CCC[C@@H]1C
386,"1,2,4-trimethylcyclopentane",CC1CC(C)C(C)C1
387,"(1S,3S)-1,2,3-trimethylcyclopentane",CC1[C@@H](C)CC[C@@H]1C
388,"1,2,3-trimethylcyclopentane",CC1CCC(C)C1C
389,"(1S,3S)-1-ethyl-3-methylcyclopentane",CC[C@H]1CC[C@H](C)C1
390,1-ethyl-2-methylcyclopentane,CCC1CCCC1C
391,"1,1,4-trimethylcyclohexane",CC1CCC(C)(C)CC1
392,"4,4-dimethylheptane",CCCC(C)(C)CCC
393,"3,4-dimethylheptane",CCCC(C)C(C)CC
394,3-ethylheptane,CCCCC(CC)CC
395,"2,3-dimethyloctane",CCCCCC(C)C(C)C
396,5-methylnonane,CCCCC(C)CCCC
397,1-methyl-4-propylbenzene,CCCc1ccc(C)cc1
398,1-ethyl-2-propylbenzene,CCCc1ccccc1CC
399,"1,3-di(propan-2-yl)benzene",CC(C)c1cccc(C(C)C)c1
400,"1,4-di(propan-2-yl)benzene",CC(C)c1ccc(C(C)C)cc1
401,1-tert-butyl-4-ethylbenzene,CCc1ccc(C(C)(C)C)cc1
402,"1,3-dipropylbenzene",CCCc1cccc(CCC)c1
403,"1,3,5-triethylbenzene",CCc1cc(CC)cc(CC)c1
404,hexylbenzene,CCCCCCc1ccccc1
405,"2,3,4-trimethylhexane",CCC(C)C(C)C(C)C
406,non-1-ene,C=CCCCCCCC
407,"(1R,3S)-1-ethyl-3-methylcyclopentane",CC[C@@H]1CC[C@H](C)C1
408,"(1R,2R)-1-ethyl-2-methylcyclopentane",CC[C@@H]1CCC[C@H]1C
409,"2,5-dimethylnonane",CCCCC(C)CCC(C)C
410,"2,4,6-trimethylheptane",CC(C)CC(C)CC(C)C
411,"3,6-dimethyloctane",CCC(C)CCC(C)CC
412,1-ethyl-2-propan-2-ylbenzene,CCc1ccccc1C(C)C
413,3-methylbutan-2-ylbenzene,CC(C)C(C)c1ccccc1
414,(E)-but-2-ene,C/C=C/C
415,"buta-1,2-diene",C=C=CC
416,"1,2,3-trimethylcyclohexane",CC1CCCC(C)C1C
417,"2,7-dimethyloctane",CC(C)CCCCC(C)C
418,"2,2,3,5-tetramethylheptane",CCC(C)CC(C)C(C)(C)C
