value,error,Train_Test_Label,cmp_ids,cmp_mole_fractions,property,unit
84.1,8.2938,train,"[255, 114, 8, 87, 333, 334, 335, 276, 9, 305, 86, 111, 57, 82, 107, 10, 127, 28, 195, 130, 29, 104, 336, 341, 342, 345, 0, 15, 17, 79, 19, 43, 96, 69, 109, 47, 16, 54, 312, 246, 328, 348, 350, 351, 352, 353, 354, 81, 60, 110, 117, 233, 277, 84, 99, 326, 268, 360, 361, 381, 232, 1, 66, 152, 137, 281, 374, 129, 310, 376, 377, 102, 106, 275, 304, 125, 302, 298, 379, 12, 13, 243, 173, 201, 382, 172, 383, 270, 331, 138, 188, 200, 384, 385, 386, 387, 388, 307, 389, 390, 234, 157, 391, 392, 393, 394, 181, 395, 396, 53, 23, 397, 155, 398, 399, 400, 401, 402, 403, 404, 309]","[0.052097, 0.015266, 0.014702, 0.0032069999999999998, 0.001108, 0.002431, 0.001971, 0.067807, 0.0026190000000000002, 0.008742, 0.038333, 0.025071, 0.005101, 0.020101, 0.020142000000000004, 0.002405, 0.002761, 0.0042120000000000005, 0.003602, 0.01065, 0.004015, 0.010360000000000001, 0.0014039999999999999, 0.003886, 0.005608999999999999, 0.0012839999999999998, 0.006952000000000001, 0.039108000000000004, 0.001371, 0.033813, 0.01467, 0.016842, 0.016214, 0.006725, 0.008690999999999999, 0.002533, 0.026615000000000003, 0.005504, 0.00462, 0.005183, 0.006014, 0.0060550000000000005, 0.003306, 0.004887, 0.003755, 0.005151, 0.0014169999999999999, 0.001727, 0.01789, 0.003921, 0.01169, 0.002011, 0.013405, 0.0014269999999999999, 0.00179, 0.003536, 0.001548, 0.006135000000000001, 0.00503, 0.006047, 0.002672, 0.010206, 0.007026, 0.00232, 0.005137, 0.005947, 0.003948, 0.003677, 0.001, 0.004357, 0.002438, 0.001956, 0.0038, 0.002724, 0.007901, 0.001143, 0.002785, 0.005627, 0.003025, 0.000987, 0.003104, 0.001256, 0.010459000000000001, 0.0026479999999999997, 0.0021190000000000002, 0.00479, 0.0010090000000000001, 0.002209, 0.002849, 0.001176, 0.0010789999999999999, 0.002226, 0.0011250000000000001, 0.002908, 0.001547, 0.00149, 0.00532, 0.0018440000000000002, 0.002072, 0.00157, 0.001095, 0.001151, 0.00344, 0.001057, 0.001072, 0.005848, 0.00101, 0.001087, 0.001086, 0.004022, 0.0024749999999999998, 0.0013800000000000002, 0.00203, 0.0018410000000000002, 0.001709, 0.0016339999999999998, 0.0018509999999999998, 0.000993, 0.001298, 0.0015170000000000001, 0.2]",Motor octane number,
68.0705,8.2396,train,"[114, 8, 344, 108]","[0.389902, 0.186604, 0.337125, 0.086369]",Motor octane number,
74.6,7.9131,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 309, 74]","[0.003649, 0.012774, 0.012282, 0.018264, 0.003811, 0.010098000000000001, 0.006588, 0.00639, 0.001862, 0.0015509999999999999, 0.008480999999999999, 0.0018559999999999998, 0.0007620000000000001, 0.00046, 0.000931, 0.000807, 0.0035730000000000002, 0.000388, 0.001212, 0.000654, 0.0009170000000000001, 0.000879, 0.000357, 0.9, 0.001454]",Motor octane number,
91.7,10.8161,train,"[10, 15, 2, 1]","[0.6534, 0.135, 0.1, 0.1116]",Motor octane number,
91.3,7.3728,train,"[255, 276, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 117, 2, 1, 66, 152, 137, 281, 374, 173, 262, 285, 405, 406, 142, 407]","[0.018633, 0.04813799999999999, 0.006898, 0.007793, 0.0029609999999999997, 0.012584999999999999, 0.001558, 0.020207000000000003, 0.026703, 0.11434, 0.0016350000000000002, 0.006178, 0.008505, 0.027101, 0.018474, 0.007216, 0.000805, 0.6, 0.026779999999999998, 0.030261999999999997, 0.0025580000000000004, 0.001094, 0.001171, 0.0014069999999999998, 0.001261, 0.0005, 0.000545, 0.000533, 0.0006219999999999999, 0.000517, 0.0030180000000000003]",Motor octane number,
84.9,10.3384,train,"[10, 15, 84, 1]","[0.465, 0.32, 0.075, 0.14]",Motor octane number,
89.4,9.3459,train,"[10, 15, 2, 1]","[0.4788, 0.2682, 0.1, 0.153]",Motor octane number,
90.7,9.0173,train,"[10, 81, 1]","[0.71, 0.2, 0.09]",Motor octane number,
81.256,7.3229,train,"[110, 1, 108]","[0.550431, 0.156949, 0.29262]",Motor octane number,
72.0,7.0069,train,"[10, 84, 1]","[0.57, 0.2, 0.23]",Motor octane number,
73.6,12.169,train,"[255, 87, 57, 82, 107, 10, 256, 104, 0, 17, 79, 19, 43, 40, 96, 69, 109, 47, 16, 54, 2, 1, 66, 152, 294, 366, 173, 23]","[0.082449, 0.092, 0.002253, 0.11164400000000001, 0.142461, 0.001352, 0.017571, 0.001532, 0.007389, 0.017391, 0.053524, 0.022437, 0.032439, 0.007479, 0.026581999999999998, 0.012255, 0.015949, 0.010543, 0.053795, 0.010182, 0.1, 0.12029400000000001, 0.037485, 0.014237, 0.002163, 0.001442, 0.001892, 0.001262]",Motor octane number,
55.5,6.3038,train,"[10, 15, 1]","[0.337, 0.198, 0.465]",Motor octane number,
82.4,9.6404,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 74, 48]","[0.010946000000000001, 0.038321999999999995, 0.036847, 0.054793, 0.011434, 0.030293999999999998, 0.019763, 0.019171, 0.005587, 0.004653, 0.025444, 0.005567, 0.002285, 0.001381, 0.0027939999999999996, 0.00242, 0.010718, 0.001163, 0.0036349999999999998, 0.001963, 0.002752, 0.0026379999999999997, 0.00107, 0.0043619999999999996, 0.7]",Motor octane number,
77.7,8.7691,train,"[10, 16, 1]","[0.41, 0.3, 0.29]",Motor octane number,
77.2,8.4963,train,"[10, 15, 2, 1]","[0.45, 0.15, 0.1, 0.3]",Motor octane number,
80.7,8.3051,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 309, 74]","[0.02919, 0.10219099999999999, 0.09825900000000001, 0.146114, 0.030491, 0.08078400000000001, 0.052702, 0.051123, 0.014899, 0.012407, 0.067851, 0.014844, 0.0060929999999999995, 0.003683, 0.00745, 0.0064529999999999995, 0.02858, 0.0031019999999999997, 0.009693, 0.005234, 0.007339, 0.007034, 0.002852, 0.2, 0.011632]",Motor octane number,
91.5676,9.8773,train,"[344, 260, 108]","[0.13249, 0.134345, 0.7331650000000001]",Motor octane number,
68.6149,9.1948,train,"[15, 1, 108]","[0.488193, 0.412188, 0.099619]",Motor octane number,
94.5481,11.1048,train,"[15, 1, 55]","[0.14374800000000001, 0.121369, 0.734883]",Motor octane number,
79.5,8.332,train,"[84, 2]","[0.6, 0.4]",Motor octane number,
94.0037,10.5965,test,"[344, 55, 260]","[0.139884, 0.718272, 0.141844]",Motor octane number,
69.5579,7.3446,train,"[344, 260]","[0.496523, 0.5034770000000001]",Motor octane number,
82.2,9.3495,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 74, 48]","[0.021892000000000002, 0.076643, 0.073694, 0.109586, 0.022868, 0.060587999999999996, 0.039526, 0.038342999999999995, 0.011175, 0.009305, 0.050888, 0.011132999999999999, 0.00457, 0.002762, 0.005587, 0.00484, 0.021435, 0.002326, 0.0072699999999999996, 0.003926, 0.005504, 0.0052759999999999994, 0.0021390000000000003, 0.008723999999999999, 0.4]",Motor octane number,
68.0,8.8409,train,"[10, 15, 1]","[0.1, 0.5, 0.4]",Motor octane number,
82.7154,8.0911,train,"[344, 2, 260]","[0.35707500000000003, 0.28085, 0.362076]",Motor octane number,
94.391,9.6893,train,"[15, 2, 1]","[0.136501, 0.7482489999999999, 0.11525]",Motor octane number,
85.4659,8.3272,train,"[344, 1, 108]","[0.495303, 0.225015, 0.279682]",Motor octane number,
60.8,5.7162,train,"[10, 1]","[0.6, 0.4]",Motor octane number,
88.5,5.8965,train,"[255, 276, 9, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 17, 79, 19, 43, 47, 81, 2, 1, 66, 152, 283, 374, 302, 262, 285, 405, 407, 306]","[0.019038, 0.076499, 0.041797, 0.011713, 0.004078, 0.00182, 0.033083, 0.001271, 0.017008000000000002, 0.021296, 0.194768, 0.005066, 0.015271, 0.01966, 0.051536, 0.043699, 0.014146, 0.010031000000000002, 0.030687000000000002, 0.012929999999999999, 0.014530000000000001, 0.0015359999999999998, 0.093004, 0.1, 0.018983, 0.048856000000000004, 0.001966, 0.001225, 0.00096, 0.081299, 0.001225, 0.001436, 0.001116, 0.007306, 0.001161]",Motor octane number,
73.8913,5.306,test,"[344, 55, 260]","[0.453683, 0.08628, 0.46003700000000003]",Motor octane number,
85.6,9.9047,train,"[10, 15, 1]","[0.64, 0.2, 0.16]",Motor octane number,
86.0679,9.488,train,"[19, 2, 1]","[0.225067, 0.491211, 0.283723]",Motor octane number,
84.0,9.6404,train,"[10, 15, 1]","[0.667, 0.16699999999999998, 0.166]",Motor octane number,
85.2,9.9762,train,"[10, 15, 1]","[0.05, 0.74, 0.21]",Motor octane number,
87.8,9.8392,train,"[10, 15, 81, 1]","[0.51, 0.15, 0.2, 0.14]",Motor octane number,
85.9,7.853,train,"[255, 87, 57, 82, 107, 10, 256, 104, 0, 17, 79, 19, 43, 40, 96, 69, 109, 47, 16, 54, 2, 1, 66, 152, 294, 366, 173, 23]","[0.054966, 0.061334, 0.001502, 0.074429, 0.094974, 0.000901, 0.011714, 0.001021, 0.004926, 0.011594, 0.035683, 0.014958, 0.021626, 0.004986, 0.017721, 0.00817, 0.010632999999999998, 0.0070279999999999995, 0.035863, 0.006788, 0.4, 0.080196, 0.024990000000000002, 0.009491000000000001, 0.001442, 0.000961, 0.001262, 0.000841]",Motor octane number,
90.3,6.6887,train,"[255, 276, 9, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 17, 79, 19, 43, 47, 81, 2, 1, 66, 152, 283, 374, 302, 262, 285, 405, 407, 306]","[0.012692000000000002, 0.050998999999999996, 0.027865, 0.007809, 0.0027189999999999996, 0.001213, 0.022054999999999998, 0.000847, 0.011338999999999998, 0.014197999999999999, 0.12984500000000002, 0.003377, 0.01018, 0.013106, 0.034357, 0.029133, 0.009431, 0.006686999999999999, 0.020457999999999997, 0.00862, 0.009687, 0.001024, 0.062003, 0.4, 0.012655000000000001, 0.032570999999999996, 0.0013109999999999999, 0.0008169999999999999, 0.00064, 0.0542, 0.0008169999999999999, 0.000957, 0.000744, 0.0048709999999999995, 0.000774]",Motor octane number,
90.5,8.1104,train,"[255, 276, 9, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 17, 79, 19, 43, 47, 81, 2, 1, 66, 152, 283, 374, 302, 262, 285, 405, 407, 306]","[0.008461, 0.033999, 0.018577, 0.005206, 0.001813, 0.000809, 0.014704, 0.000565, 0.007559, 0.009465, 0.086563, 0.002251, 0.006787, 0.008738000000000001, 0.022905000000000002, 0.019422, 0.006287, 0.004458, 0.013638999999999998, 0.0057469999999999995, 0.006458, 0.000683, 0.041335, 0.6, 0.008437, 0.021714, 0.0008740000000000001, 0.000545, 0.000427, 0.036133, 0.000545, 0.000638, 0.000496, 0.003247, 0.000516]",Motor octane number,
90.0,9.6359,train,"[10, 1]","[0.9, 0.1]",Motor octane number,
89.0,9.8292,train,"[10, 2, 1]","[0.16, 0.6, 0.24]",Motor octane number,
37.0,7.287,train,"[10, 15, 1]","[0.16699999999999998, 0.16699999999999998, 0.6659999999999999]",Motor octane number,
102.0,13.8201,train,"[16, 2]","[0.9, 0.1]",Motor octane number,
71.0511,6.8033,train,"[110, 1]","[0.778126, 0.22187400000000002]",Motor octane number,
69.7151,9.1875,train,"[15, 1, 55]","[0.49172499999999997, 0.41517000000000004, 0.093105]",Motor octane number,
80.8506,8.468,train,"[114, 8, 344, 108]","[0.31273, 0.14967, 0.270399, 0.26720099999999997]",Motor octane number,
85.2,10.9813,train,"[10, 15, 1]","[0.05, 0.7390000000000001, 0.21]",Motor octane number,
85.8,10.2242,train,"[10, 15, 1]","[0.435, 0.39899999999999997, 0.165]",Motor octane number,
91.0,11.5254,train,"[10, 2, 1]","[0.04, 0.9, 0.06]",Motor octane number,
80.7,8.2336,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 309, 74]","[0.025541, 0.08941700000000001, 0.085976, 0.12785, 0.026680000000000002, 0.070686, 0.046113999999999995, 0.044733, 0.013037, 0.010856, 0.059369, 0.012988999999999999, 0.005331, 0.0032229999999999997, 0.0065190000000000005, 0.005646, 0.025008, 0.002714, 0.008480999999999999, 0.00458, 0.006422, 0.006155000000000001, 0.002496, 0.3, 0.010178]",Motor octane number,
91.1,10.2713,train,"[10, 15, 2, 1]","[0.0694, 0.09, 0.8, 0.0406]",Motor octane number,
66.8,7.5365,train,"[10, 2, 1]","[0.5, 0.1, 0.4]",Motor octane number,
86.1,9.6169,train,"[10, 15, 1]","[0.532, 0.298, 0.17]",Motor octane number,
57.7,10.4861,train,"[15, 1]","[0.5, 0.5]",Motor octane number,
71.6798,9.3839,train,"[15, 2, 1]","[0.48843899999999996, 0.09916399999999999, 0.41239600000000004]",Motor octane number,
66.0216,8.4824,train,"[15, 1]","[0.542207, 0.457793]",Motor octane number,
87.4,10.1307,train,"[10, 15, 1]","[0.16699999999999998, 0.667, 0.16699999999999998]",Motor octane number,
91.0581,9.9965,train,"[114, 8, 344, 2]","[0.120572, 0.057705, 0.10425100000000001, 0.7174720000000001]",Motor octane number,
92.1,8.9044,train,"[10, 15, 2, 1]","[0.31920000000000004, 0.1788, 0.4, 0.102]",Motor octane number,
82.0418,7.7399,test,"[110, 1, 55]","[0.562295, 0.160332, 0.27737300000000004]",Motor octane number,
88.7,9.9897,train,"[10, 15, 1]","[0.1, 0.74, 0.16]",Motor octane number,
78.4044,8.6511,test,"[110, 1, 55]","[0.635772, 0.181284, 0.182944]",Motor octane number,
90.5548,8.7199,train,"[344, 2, 1]","[0.36164, 0.474067, 0.16429200000000002]",Motor octane number,
87.5,11.7566,train,"[10, 2, 1]","[0.2, 0.5, 0.3]",Motor octane number,
78.0,14.1659,test,"[255, 276, 9, 305, 86, 111, 57, 82, 107, 10, 245, 127, 28, 121, 0, 15, 81, 117, 84, 2, 1, 66, 152, 283, 137, 281, 374, 129, 173, 385, 142, 408]","[0.005874000000000001, 0.030408, 0.002653, 0.016928000000000002, 0.052525, 0.019174, 0.020402, 0.093436, 0.123835, 0.117537, 0.002716, 0.009547, 0.01229, 0.031084999999999998, 0.005252, 0.027584, 0.001678, 0.003781, 0.05432000000000001, 0.1, 0.126019, 0.056882999999999996, 0.01192, 0.008726000000000001, 0.005243, 0.005468, 0.006659000000000001, 0.001047, 0.036256, 0.0017050000000000001, 0.002409, 0.006641]",Motor octane number,
84.0,10.6358,train,"[84, 2]","[0.4, 0.6]",Motor octane number,
81.458,7.179,train,"[344, 260, 108]","[0.356564, 0.361558, 0.281877]",Motor octane number,
70.0,7.3971,train,"[10, 1]","[0.7, 0.3]",Motor octane number,
83.2318,10.8614,train,"[15, 2, 1]","[0.380604, 0.298047, 0.321349]",Motor octane number,
99.9,10.2771,train,"[10, 2]","[0.9, 0.1]",Motor octane number,
64.4,5.9482,train,"[10, 15, 1]","[0.54, 0.1, 0.36]",Motor octane number,
87.2,8.717,train,"[10, 15, 2, 1]","[0.3123, 0.405, 0.1, 0.1827]",Motor octane number,
73.3817,8.7947,train,"[114, 8, 344, 2]","[0.390073, 0.18668600000000002, 0.337273, 0.085969]",Motor octane number,
83.7,10.2785,train,"[10, 15, 1]","[0.2, 0.6, 0.2]",Motor octane number,
69.4,7.5821,train,"[10, 15, 2, 1]","[0.45, 0.15, 0.05, 0.35]",Motor octane number,
70.5,8.6696,train,"[10, 15, 2, 1]","[0.045, 0.322, 0.2, 0.433]",Motor octane number,
82.7,9.8654,train,"[10, 15, 84, 1]","[0.39, 0.3, 0.2, 0.11]",Motor octane number,
72.1246,9.6034,train,"[19, 1, 55]","[0.361079, 0.45518099999999995, 0.18374]",Motor octane number,
75.2,8.2364,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 309, 74]","[0.0072970000000000005, 0.025548, 0.024565, 0.036529, 0.007623, 0.020196000000000002, 0.013175, 0.012781, 0.003725, 0.0031019999999999997, 0.016963, 0.003711, 0.0015229999999999998, 0.000921, 0.001862, 0.001613, 0.007145, 0.000775, 0.002423, 0.0013089999999999998, 0.001835, 0.001759, 0.000713, 0.8, 0.002908]",Motor octane number,
62.3,5.7611,train,"[10, 15, 1]","[0.45, 0.15, 0.4]",Motor octane number,
68.0,7.5719,train,"[10, 15, 1]","[0.24, 0.4, 0.36]",Motor octane number,
96.6,11.084,train,"[10, 15, 1]","[0.2, 0.74, 0.06]",Motor octane number,
77.7,8.5487,train,"[10, 15, 2, 1]","[0.37799999999999995, 0.08199999999999999, 0.2, 0.34]",Motor octane number,
84.0,7.66,train,"[10, 245, 121, 195, 15, 84, 99, 1, 309]","[0.37479599999999996, 0.0016409999999999999, 0.005631000000000001, 0.002489, 0.174846, 0.033687, 0.001963, 0.104947, 0.3]",Motor octane number,
74.8,10.2908,train,"[15, 1]","[0.66, 0.34]",Motor octane number,
76.6152,8.6037,train,"[19, 1, 108]","[0.312428, 0.393851, 0.293722]",Motor octane number,
75.2947,10.4742,train,"[15, 1, 55]","[0.44046300000000005, 0.37188899999999997, 0.187648]",Motor octane number,
68.0,7.1607,train,"[10, 15, 84, 1]","[0.44, 0.15, 0.1, 0.31]",Motor octane number,
95.9,10.7655,train,"[10, 2]","[0.6, 0.4]",Motor octane number,
87.8,8.625,train,"[10, 15, 2, 1]","[0.284, 0.061, 0.4, 0.255]",Motor octane number,
74.6,7.4214,train,"[10, 16, 1]","[0.57, 0.15, 0.28]",Motor octane number,
92.147,10.7048,train,"[19, 1, 55]","[0.11951700000000001, 0.150665, 0.7298180000000001]",Motor octane number,
92.6,9.7221,train,"[10, 15, 2, 1]","[0.2904, 0.06, 0.6, 0.0496]",Motor octane number,
91.0,6.4441,train,"[255, 114, 8, 276, 305, 86, 111, 57, 82, 107, 10, 245, 127, 28, 121, 256, 195, 40, 96, 69, 109, 47, 16, 54, 2, 66, 262, 285, 405, 406, 407, 306, 409]","[0.016745, 0.068236, 0.060495, 0.040676, 0.011243000000000001, 0.0034100000000000003, 0.001958, 0.027164, 0.001598, 0.001342, 0.163796, 0.0037519999999999997, 0.012237, 0.016501, 0.046837, 0.033228, 0.012938, 0.0010249999999999999, 0.003691, 0.001708, 0.002275, 0.002696, 0.007644, 0.0013969999999999998, 0.4, 0.042366, 0.001043, 0.0011899999999999999, 0.00133, 0.0015429999999999999, 0.008406, 0.000805, 0.000726]",Motor octane number,
91.7,6.0827,train,"[255, 276, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 117, 2, 1, 66, 152, 137, 281, 374, 173, 262, 285, 405, 406, 142, 407]","[0.027949, 0.072207, 0.010348, 0.01169, 0.004442, 0.018876999999999998, 0.002337, 0.030310999999999998, 0.040054, 0.17151, 0.002453, 0.009268, 0.012758, 0.040652, 0.027711, 0.010823000000000001, 0.001208, 0.4, 0.040170000000000004, 0.045392999999999996, 0.003838, 0.0016409999999999999, 0.0017569999999999999, 0.002111, 0.0018909999999999999, 0.00075, 0.0008179999999999999, 0.000799, 0.0009329999999999999, 0.000775, 0.004527]",Motor octane number,
71.9,6.9528,train,"[10, 15, 1]","[0.55, 0.15, 0.3]",Motor octane number,
87.3,10.7134,train,"[10, 15, 1]","[0.35, 0.5, 0.149]",Motor octane number,
87.9,6.7002,train,"[255, 114, 8, 87, 333, 276, 9, 86, 111, 57, 82, 107, 10, 245, 127, 28, 121, 130, 29, 336, 0, 15, 17, 79, 19, 43, 96, 109, 47, 16, 54, 246, 348, 349, 350, 81, 60, 110, 117, 214, 84, 2, 326, 1, 362, 66, 152, 283, 363, 364, 365, 294, 301, 366, 367, 368, 369, 370, 371, 372, 373, 137, 281, 374, 129, 375, 310, 376, 377, 102, 378, 106, 275, 304, 125, 302, 298, 379, 12, 380, 13]","[0.03, 0.0056879999999999995, 0.003756, 0.004187, 0.001998, 0.0038229999999999996, 0.027794, 0.015754999999999998, 0.009262, 0.012877000000000001, 0.012371, 0.012851999999999999, 0.073367, 0.001924, 0.0045190000000000004, 0.00636, 0.023690000000000003, 0.0038469999999999997, 0.0012939999999999998, 0.004079999999999999, 0.00335, 0.029859, 0.004594, 0.011484000000000001, 0.004444, 0.014121, 0.016932, 0.021808, 0.016857, 0.073897, 0.013914, 0.004403000000000001, 0.005141, 0.002562, 0.003242, 0.062769, 0.006658, 0.0022389999999999997, 0.004536, 0.002454, 0.002687, 0.25204, 0.002098, 0.010008, 0.0015010000000000002, 0.02495, 0.001476, 0.005232, 0.047370999999999996, 0.001459, 0.001451, 0.002579, 0.0014099999999999998, 0.002007, 0.0016170000000000002, 0.003035, 0.002222, 0.002985, 0.003217, 0.0043619999999999996, 0.000962, 0.0026950000000000003, 0.002363, 0.001982, 0.001352, 0.0016420000000000002, 0.002512, 0.006542, 0.003648, 0.001144, 0.0023380000000000002, 0.002645, 0.005282, 0.010174, 0.005464, 0.0016250000000000001, 0.0017330000000000002, 0.002836, 0.0011690000000000001, 0.0011690000000000001, 0.002305]",Motor octane number,
99.1,8.9449,train,"[10, 2]","[0.8, 0.2]",Motor octane number,
58.0,5.3197,train,"[10, 15, 1]","[0.473, 0.102, 0.425]",Motor octane number,
64.5,25.0099,test,"[2, 1]","[0.4, 0.6]",Motor octane number,
94.5595,11.5248,test,"[110, 1, 55]","[0.211053, 0.060179, 0.7287680000000001]",Motor octane number,
76.5745,7.8045,train,"[110, 2, 1]","[0.703103, 0.096415, 0.20048200000000002]",Motor octane number,
89.7,8.9997,test,"[255, 276, 9, 305, 86, 111, 57, 82, 107, 10, 245, 127, 28, 121, 0, 15, 81, 117, 84, 2, 1, 66, 152, 283, 137, 281, 374, 129, 173, 385, 142, 408]","[0.002611, 0.013515, 0.0011790000000000001, 0.007522999999999999, 0.023344, 0.008522, 0.009066999999999999, 0.041527, 0.055038000000000004, 0.05223900000000001, 0.001207, 0.004243, 0.005462, 0.013816, 0.002334, 0.01226, 0.000746, 0.00168, 0.024142, 0.6, 0.056009, 0.025280999999999998, 0.005298000000000001, 0.003878, 0.00233, 0.00243, 0.00296, 0.00046499999999999997, 0.016114, 0.0007580000000000001, 0.001071, 0.002952]",Motor octane number,
84.6,7.0989,train,"[10, 15, 1]","[0.742, 0.09699999999999999, 0.162]",Motor octane number,
74.5,8.0679,train,"[84, 2]","[0.75, 0.25]",Motor octane number,
84.7,9.4557,train,"[10, 15, 1]","[0.525, 0.3, 0.175]",Motor octane number,
82.3225,7.5557,test,"[344, 55, 260]","[0.363962, 0.266979, 0.369059]",Motor octane number,
50.0,5.0821,train,"[10, 1]","[0.5, 0.5]",Motor octane number,
88.0255,11.0881,train,"[15, 1, 55]","[0.281816, 0.237941, 0.480242]",Motor octane number,
82.6,9.1416,train,"[15, 1]","[0.75, 0.25]",Motor octane number,
85.3873,8.8005,train,"[110, 2, 1]","[0.396936, 0.489882, 0.11318199999999999]",Motor octane number,
85.0,9.4313,train,"[10, 15, 1]","[0.63, 0.2, 0.17]",Motor octane number,
73.1,9.7332,train,"[15, 1]","[0.64, 0.36]",Motor octane number,
77.6972,8.4217,train,"[110, 1, 108]","[0.626861, 0.178743, 0.194397]",Motor octane number,
89.5,6.4031,train,"[255, 276, 9, 305, 86, 111, 57, 300, 82, 107, 10, 245, 127, 28, 121, 256, 195, 17, 79, 19, 43, 47, 81, 2, 1, 66, 152, 283, 374, 302, 262, 285, 405, 407, 306]","[0.015865, 0.063749, 0.034831, 0.009760999999999999, 0.0033989999999999997, 0.0015160000000000002, 0.027569, 0.001059, 0.014173, 0.017747, 0.16230599999999998, 0.004221, 0.012725, 0.016383, 0.042946, 0.036416, 0.011788, 0.008359, 0.025573000000000002, 0.010775, 0.012108, 0.00128, 0.077503, 0.25, 0.015819, 0.040714, 0.001638, 0.001021, 0.0008, 0.06775, 0.001021, 0.001196, 0.0009299999999999999, 0.006088, 0.000968]",Motor octane number,
82.6,9.6729,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 74, 48]","[0.014595, 0.051096, 0.049129, 0.073057, 0.015246, 0.040392000000000004, 0.026351, 0.025562, 0.00745, 0.006202999999999999, 0.033925000000000004, 0.007422, 0.0030459999999999997, 0.001842, 0.003725, 0.003226, 0.01429, 0.0015509999999999999, 0.004846, 0.002617, 0.003669, 0.003517, 0.001426, 0.005816, 0.6]",Motor octane number,
72.0,7.319,train,"[10, 15, 16, 1]","[0.36, 0.17600000000000002, 0.12300000000000001, 0.34]",Motor octane number,
90.1452,10.0598,train,"[114, 8, 344, 108]","[0.12013299999999999, 0.057495000000000004, 0.103872, 0.718501]",Motor octane number,
80.2,8.7066,train,"[255, 114, 8, 276, 305, 86, 111, 57, 0, 81, 60, 376, 377, 102, 106, 275, 304, 302, 298, 379, 13, 173, 382, 309, 74]","[0.021892000000000002, 0.076643, 0.073694, 0.109586, 0.022868, 0.060587999999999996, 0.039526, 0.038342999999999995, 0.011175, 0.009305, 0.050888, 0.011132999999999999, 0.00457, 0.002762, 0.005587, 0.00484, 0.021435, 0.002326, 0.0072699999999999996, 0.003926, 0.005504, 0.0052759999999999994, 0.0021390000000000003, 0.4, 0.008723999999999999]",Motor octane number,
89.9793,8.849,train,"[114, 8, 344, 2]","[0.23112, 0.11061199999999999, 0.19983599999999999, 0.458432]",Motor octane number,
90.3,9.4158,train,"[10, 15, 1]","[0.723, 0.179, 0.098]",Motor octane number,
91.1,8.573,train,"[10, 15, 2, 1]","[0.42560000000000003, 0.2384, 0.2, 0.136]",Motor octane number,
92.2716,11.393,train,"[344, 1, 55]","[0.373572, 0.169713, 0.456714]",Motor octane number,
