compound_id,smiles,salt,polymer,monomeric_unit
131,N#C[C-](C#N)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],1,0,
132,COCCOCCOCCOCC1COB(B2OCC(O2)COCCOCCOCCOC)O1,0,0,
133,C[B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
134,CSCCSCCOCCCCOCC,0,1,[Cu]SCCSCCOCCCCOC[Au]
135,COC(=O)OCCCCCC,0,1,[Cu]OC(=O)OCCCCC[Au]
136,C[B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)CC(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
137,CSCCCCSCCOCCCCOCC,0,1,[Cu]SCCCCSCCOCCCCOC[Au]
138,C[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)OC,0,1,[Cu][Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Au]
139,CCC(C([N-]S(=O)(C(F)(F)F)=O)=O)C,0,1,[Cu]CC(C([N-]S(=O)(C(F)(F)F)=O)=O)[Au]
140,COC(=O)OCCCCCCCCCC,0,1,[Cu]OC(=O)OCCCCCCCCC[Au]
141,CCCOCCOCCOCCOCCC,0,1,[Cu]CCOCCOCCOCCOCC[Au]
142,C[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)OC,0,1,[Cu][Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCC[N-]S(C(F)(F)F)(=O)=O)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Si](C)(CCCOCCOCCOCCOC)O[Au]
143,CC(=O)OCCCCCC(C1=CC=CC=C1)CC,0,1,[Cu]C(=O)OCCCCCC(C1=CC=CC=C1)C[Au]
144,COC(=O)OC(CC1=CC=CC=C1)CC,0,1,[Cu]OC(=O)OC(CC1=CC=CC=C1)C[Au]
145,CC(=O)COCC(=O)OC(C)COC,0,1,[Cu]C(=O)COCC(=O)OC(C)CO[Au]
146,COC(=O)OCCCCCCCCCCC,0,1,[Cu]OC(=O)OCCCCCCCCCC[Au]
147,COCCOCCOCCOCC,0,1,[Cu]OCCOCCOCCOC[Au]
148,CC(=O)CN(CCOC)C,0,1,[Cu]C(=O)CN(CCOC)[Au]
149,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],1,0,
150,CC(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]C(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
151,O=S(=O)([O-])C(F)(F)F.[Li+],1,0,
152,F[B-](F)(F)C(F)(F)C(F)(F)F.[Li+],1,0,
153,COC1CC(O)C(CO)O1,0,0,
154,CCC(CCSCCCC(=O)NCCN1C=NC=C1)C,0,1,[Cu]CC(CCSCCCC(=O)NCCN1C=NC=C1)[Au]
155,COC(=O)OCCCCCCCCCCCCC,0,1,[Cu]OC(=O)OCCCCCCCCCCCC[Au]
156,COCCOCCOCCOCCOCC,0,1,[Cu]OCCOCCOCCOCCOC[Au]
157,CCC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]CC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
158,CCC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]CC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCC[Au]
159,C[N+]1(CCCC1)CCCC.O=S([N-]S(=O)(F)=O)(F)=O,1,0,
160,C[Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)OC,0,1,[Cu][Si](C)(CCSCCCC(=O)NCCN1C=NC=C1)O[Au]
161,O=S(=O)([B-](F)(F)S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1,0,
162,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O[Au]
163,C[Al-](OCCOCCOCCOCCOCCOCCOCC)(OCCOCCOCCOCCOCCOCCOCC)SCCOCCSC,0,1,[Cu][Al-](OCCOCCOCCOCCOCCOCCOCC)(OCCOCCOCCOCCOCCOCCOCC)SCCOCCS[Au]
164,COC(=O)OCC(OC)(OC)CC,0,1,[Cu]OC(=O)OCC(OC)(OC)C[Au]
165,COC(=O)OCCOCCOCCC,0,1,[Cu]OC(=O)OCCOCCOCC[Au]
166,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCC[Au]
167,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCOCCC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)OCCOCCOCCOCC[Au]
168,CS(=O)(=O)CCOCCOCCS(=O)(=O)CCOCCOCCOCCOCC,0,1,[Cu]S(=O)(=O)CCOCCOCCS(=O)(=O)CCOCCOCCOCCOC[Au]
169,O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],1,0,
170,F[B-](F)(F)C(F)(F)F.[Li+],1,0,
171,C[B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCC[Au]
172,CCC(F)(F)C(F)(F)C(F)(C(F)(F)(F))C,0,1,[Cu]CC(F)(F)C(F)(F)C(F)(C(F)(F)(F))[Au]
173,CC(C)C[P+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,1,0,
174,[Li+].c1ccc2c(c1)O[B-]1(Oc3ccccc3-2)Oc2ccccc2-c2ccccc2O1,1,0,
175,CCC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]CC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
176,COCCOCCCC(c1ccccc1)CC(c1ccccc1)C,0,1,[Cu]OCCOCCCC(c1ccccc1)CC(c1ccccc1)[Au]
177,CCC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]CC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
178,C[Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCCC,0,1,[Cu][Al-](OC1=CC=CO1)(OC2=CC=CO2)OCCOCC[Au]
179,CN(C)CCC,0,1,[Cu]N(C)CC[Au]
180,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O[Au]
181,CC(OCCOCCOCCOC)CC,0,1,[Cu]C(OCCOCCOCCOC)C[Au]
182,NCCNCCNCCNCCNCCN,0,0,
183,COC(=O)OCCC,0,1,[Cu]OC(=O)OCC[Au]
184,C[Al-](OCCOCCOC)(OCCOCCOC)SCCOCCSC,0,1,[Cu][Al-](OCCOCCOC)(OCCOCCOC)SCCOCCS[Au]
185,O=S(=O)(CC(F)(F)C(F)F)[N-]S(=O)(=O)CC(F)(F)C(F)F.[Li+],1,0,
186,NCCNCCNCCNCCN,0,0,
187,ClCCOCCOCCOCCCl,0,0,
188,O=C1OCC(F)O1,0,0,
189,CC(=O)CCCCC(=O)OCCCCOC,0,1,[Cu]C(=O)CCCCC(=O)OCCCCO[Au]
190,CC1CC(O[B-](OC2=O)(OC2=O)O1)CC,0,1,[Cu]C1CC(O[B-](OC2=O)(OC2=O)O1)C[Au]
191,COC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)C,0,1,[Cu]OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)OC(F)(F)OC(F)(F)[Au]
192,C[B-](OC)(OC)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-](O[Ca])(O[Ca])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)OOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
193,FC(F)(C1=NC(C#N)=C([N-]1)C#N)F.CCCCN2C=C[N+](C)=C2,1,0,
194,CC(C)(C)COc1c(F)c(N2CCCCC2)c(F)c(OCC(C)(C)C)c1S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Li+],1,0,
195,O=C1OC(C)C(C)O1,0,0,
196,C1=CC=CC=C1,0,0,
197,CC(=O)COCC(=O)OC(COCCOCCOC)COC,0,1,[Cu]C(=O)COCC(=O)OC(COCCOCCOC)CO[Au]
198,CC(=O)CC(=O)OCCOC,0,1,[Cu]C(=O)CC(=O)OCCO[Au]
199,CC(=O)OCC(COCC(COC(C)=O)(COC(C)=O)COC(C)=O)(COCC(COC(C)=O)(COC(C)=O)COC(C)=O)COC(C)=O,0,0,
200,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1,0,
201,C[N+]1(CCC)CCCC1.O=S([N-]S(=O)(F)=O)(F)=O,1,0,
202,CSCCCCCCCCSCCOCCCCOCC,0,1,[Cu]SCCCCCCCCSCCOCCCCOC[Au]
203,C[Si](CCC1OC(=O)OC1)(CCC1OC(=O)OC1)CCCC,0,1,[Cu][Si](CCC1OC(=O)OC1)(CCC1OC(=O)OC1)CCC[Au]
204,O=S1(CCCC1)=O,0,0,
205,CNCCCC,0,1,[Cu]NCCC[Au]
206,CCC(C)(C(=O)OCCO)C,0,1,[Cu]CC(C)(C(=O)OCCO)[Au]
207,CC(=O)CCCC(=O)OC(C)COC,0,1,[Cu]C(=O)CCCC(=O)OC(C)CO[Au]
208,N#Cc1nc(C(F)(F)C(F)(F)F)[n-]c1C#N.[Li+],1,0,
209,C[Al-](OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)SCCOCCSC,0,1,[Cu][Al-](OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)SCCOCCS[Au]
210,[Br-].[Li+],1,0,
211,N#Cc1nc(C(F)(F)F)[n-]c1C#N.[Li+],1,0,
212,O=C1OCCO1,0,0,
213,C[Si](C)(CCC1OC(=O)OC1)CCCC,0,1,[Cu][Si](C)(CCC1OC(=O)OC1)CCC[Au]
214,COCCC[N-]S(=O)(=O)C(F)(F)F.[Li+],1,0,
215,COCCOCCOCCOCCOCCOCCOCCOCCOC(COCC=C)CC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOCCOC(COCC=C)C[Au]
216,CNCCC,0,1,[Cu]NCC[Au]
217,COCCOCCOCCOCCO,0,0,
218,CO[B-](C1=CC=CC=C1)(C2=C(C=C(C=C2C)C)C)OCCOCCOCCOCCC,0,1,[Cu]O[B-](C1=CC=CC=C1)(C2=C(C=C(C=C2C)C)C)OCCOCCOCCOCC[Au]
219,CCC(C(=C1)C=CC(=C1)S(=O)(=O)[O-])C,0,1,[Cu]CC(C(=C1)C=CC(=C1)S(=O)(=O)[O-])[Au]
220,COCCOCC,0,1,[Cu]OCCOC[Au]
221,C[Al-](SC1=CC=CO1)(SC2=CC=CO2)SCCSCCSC,0,1,[Cu][Al-](SC1=CC=CO1)(SC2=CC=CO2)SCCSCCS[Au]
222,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)c1cccc(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)c1.[Li+].[Li+],1,0,
223,CCCC1C(=O)N(C(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)C(=O)C1C,0,1,[Cu]CCC1C(=O)N(C(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC)C(=O)C1[Au]
224,N#C[N-]S(=O)(=O)C(F)(F)F.[Li+],1,0,
225,F[As-](F)(F)(F)(F)F.[Li+],1,0,
226,CCC1C[N+](C)(C)CC1CC.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,1,1,[Cu]CC1C[N+](C)(C)CC1C[Au].O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O
227,[H][C@]12OC[C@@H](O)[C@@]1([H])OC[C@H]2O,0,0,
228,COC(=O)OC(COC(C)C)CC,0,1,[Cu]OC(=O)OC(COC(C)C)C[Au]
229,C[B-](OC)(OC)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)OOCCOCCOCCC,0,1,[Cu][B-](O[Ca])(O[Ca])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)OOCCOCCOCC[Au]
230,CCOC(=O)C1=CC=CC=C1C(=O)OCC,0,0,
231,CSCCSCCOCCOCCOCCOCC,0,1,[Cu]SCCSCCOCCOCCOCCOC[Au]
232,CC(=O)COCC(=O)OC(COCC=C)COC,0,1,[Cu]C(=O)COCC(=O)OC(COCC=C)CO[Au]
233,CC(COCCCSCCCC(=O)NCCN1C=NC=C1)OCC,0,1,[Cu]C(COCCCSCCCC(=O)NCCN1C=NC=C1)OC[Au]
234,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],1,0,
235,CCC(C(=O)OCCOCCOCCOC)C,0,1,[Cu]CC(C(=O)OCCOCCOCCOC)[Au]
236,C1CCOC1,0,0,
237,O=C(NCCOCCOCCOC)NCCOCCOCCOC,0,0,
238,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],1,0,
239,C[P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][P-](OC1=O)(OC1=O)(OC2=O)(OC2=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
240,CC(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]C(C)(C(=O)OCCCS(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
241,C[Si](C)(C)OCCOC,0,1,[Cu][Si](C)(C)OCCO[Au]
242,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1,0,
243,CCOC(=O)CCC(=O)OCC,0,1,[Cu]COC(=O)CCC(=O)OC[Au]
244,CC(=O)OC1OC(=O)OC1OC(=O)C,0,1,[Cu]C(=O)OC1OC(=O)OC1OC(=O)[Au]
245,C[P+](C)(CC(C)C)C.FS([N-]S(F)(=O)=O)(=O)=O,1,0,
246,O=S1(C(C)CCC1)=O,0,0,
247,CC(C(OC)=O)(C)CC(C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)=O)(C)CC(C(OC)=O)(C)CC,0,1,[Cu]C(C(OC)=O)(C)CC(C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)=O)(C)CC(C(OC)=O)(C)C[Au]
248,COC(COCCCSCCCC(=O)NCCN1C=NC=C1)COCCOCCOCCOCCOCCC,0,1,[Cu]OC(COCCCSCCCC(=O)NCCN1C=NC=C1)COCCOCCOCCOCCOCC[Au]
249,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)OC,0,1,[Cu]OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O[Au]
250,COC(=O)OC(CC)CC,0,1,[Cu]OC(=O)OC(CC)C[Au]
251,COC(=O)CCCCCC,0,1,[Cu]OC(=O)CCCCC[Au]
252,CCC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)C,0,1,[Cu]CC(C1=CC=C(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)C=C1)[Au]
253,CCC(OCC)C,0,1,[Cu]CC(OCC)[Au]
254,COC(=O)OCC(CC)(COCCCCCCC)CC,0,1,[Cu]OC(=O)OCC(CC)(COCCCCCCC)C[Au]
255,COCP(=S)(CC1=CC=CC=C1)COCC(C(C)=C1(C))=C(C)C(C)=C1CC,0,1,[Cu]OCP(=S)(CC1=CC=CC=C1)COCC(C(C)=C1(C))=C(C)C(C)=C1C[Au]
256,COCOC,0,0,
257,CC(=O)OCCCCCC,0,1,[Cu]C(=O)OCCCCC[Au]
258,S=C(NCCOCCOCCOC)NCCOCCOCCOC,0,0,
259,CCC(C)(C(OCCOCCOCCOCCOCCOCCO)=O)C,0,1,[Cu]CC(C)(C(OCCOCCOCCOCCOCCOCCO)=O)[Au]
260,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,0,0,
261,C[B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu][B-]1(OC(=O)C(=O)O1)OCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
262,O=C([O-])C(F)(F)C(F)(F)F.[Li+],1,0,
263,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(=O)[O-].[Li+].[Li+],1,0,
264,COCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCCC,0,1,[Cu]OCCCB(C1=C(C)C=C(C)C=C1(C))COCCOCCOCC[Au]
265,C[Si](CCC1=CC=C([B-](C3=CC=CC=C3)(C4=CC=CC=C4)C2=CC=CC=C2)C=C1)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)OC,0,1,[Cu][Si](CCC1=CC=C([B-](C3=CC=CC=C3)(C4=CC=CC=C4)C2=CC=CC=C2)C=C1)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Si](CCCOC(O1)COC1=O)(C)O[Au]
266,Cl[Al-](Cl)(Cl)Cl.[Li+],1,0,
267,CCC(O)C,0,1,[Cu]CC(O)[Au]
268,CCC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC,0,1,[Cu]CC(C1=CC=C(S([N-]S(C(F)(F)F)(=O)=O)(=O)=O)C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC[Au]
269,COCCOCCOC(COCC=C)CC,0,1,[Cu]OCCOCCOC(COCC=C)C[Au]
270,COCCOCC(I)CC(F)(F)C(F)(F)OC(F)(F)C(F)(F)S(=O)(=O)[O-].[Li+],1,0,
271,O=S(=O)([O-])c1c(F)c(F)c(F)c(F)c1F.[Li+],1,0,
